prod_name,spec_list,review_score,review_count,lowest_price,prod_img
ASUS TUF Gaming A14 FA401UM-RG007,"노트북 / 35.56cm(14인치) / 1.46kg / OS미포함(프리도스) / [화면] 해상도 : 2560x1600(WQXGA) / 밝기 : 400nit / 주사율 : 165Hz / [CPU] AMD / 라이젠7(Zen4) / 260 (5.1GHz) / NPU : 16TOPS / [그래픽] 외장그래픽 / RTX5060 / TGP : 105W / [구성] 램 : 32GB / 램 교체 : 불가능 / 용량 : 512GB / 저장 슬롯 : 2개 / 전원 : USB-PD / 배터리 : 73Wh / 용도 : 게임용 , 그래픽작업용 , 휴대용",4.9,11,1799010,https://img.danawa.com/new/noData/img/noImg_160.gif
ASUS TUF Gaming A14 FA401UV-RG025,"노트북 / 35.56cm(14인치) / 1.44kg / OS미포함(프리도스) / [화면] 해상도 : 2560x1600(WQXGA) / 밝기 : 400nit / 주사율 : 165Hz / [CPU] AMD / 라이젠7(Zen4) / 8845HS (3.8GHz) / NPU : 16TOPS / [그래픽] 외장그래픽 / RTX4060 / TGP : 100W / [구성] 램 : 32GB / 램 교체 : 불가능 / 용량 : 512GB / 저장 슬롯 : 2개 / 전원 : USB-PD / 배터리 : 73Wh / 용도 : 게임용 , 그래픽작업용 , 휴대용",4.8,84,1539000,https://img.danawa.com/new/noData/img/noImg_160.gif
레노버 아이디어패드 Slim3 15ABR8 82XM00ELKR WIN11,노트북 / 39.62cm(15.6인치) / 1.7kg / 최대 12시간 / 윈도우11(설치) / [화면] 해상도 : 1920x1080(FHD) / 밝기 : 300nit / [CPU] AMD / 라이젠5(Zen3) / 7430U (2.3Hz) / [그래픽] 내장그래픽 / Radeon Graphics / 7core / [구성] 램 : 16GB / 램 교체 : 불가능 / 용량 : 512GB / 저장 슬롯 : 1개 / 전원 : USB-PD(+DC) / 배터리 : 47Wh / 용도 : 사무/인강용,4.7,91,619000,https://img.danawa.com/new/noData/img/noImg_160.gif
MSI 모던시리즈 모던 14 C7M-R5,"노트북 / 35.5cm(14인치) / 1.4kg / OS미포함(프리도스) / [화면] 해상도 : 1920x1080(FHD) / 밝기 : 300nit / [CPU] AMD / 라이젠5(Zen3) / 7530U (2.0Hz) / [그래픽] 내장그래픽 / Radeon Graphics / [구성] 램 : 8GB / 램 교체 : 불가능 / 용량 : 512GB / 전원 : USB-PD(+DC) / 배터리 : 39.3Wh / 용도 : 사무/인강용 , 휴대용",4.8,250,419000,https://img.danawa.com/new/noData/img/noImg_160.gif
HP 오멘 16-ap0117AX,"노트북 / 40.6cm(16인치) / 2.35kg / OS미포함(프리도스) / [화면] 해상도 : 2560x1600(WQXGA) / 밝기 : 500nit / 주사율 : 240Hz / [CPU] AMD / 라이젠9(Zen4) / 8940HX (5.3GHz) / [그래픽] 외장그래픽 / RTX5070 / TGP : 115W / [구성] 램 : 32GB / 램 교체 : 가능 / 용량 : 1TB / 전원 : USB-PD(+DC) / 배터리 : 83Wh / 용도 : 게임용 , 그래픽작업용",5.0,1,2248000,https://img.danawa.com/new/noData/img/noImg_160.gif
LG전자 2025 그램 프로16 16Z90TP-GD7CK,"노트북 / 40.6cm(16인치) / 1.199kg / 최대 23.5시간 / 윈도우11홈 / [화면] 해상도 : 2560x1600(WQXGA) / 밝기 : 400nit / 주사율 : 144Hz / [CPU] 인텔 / 코어 울트라7(S2) / 255H (5.1GHz) / NPU : 13TOPS / [그래픽] 내장그래픽 / Arc 140T / 8core / [구성] 램 : 32GB / 램 교체 : 불가능 / 용량 : 512GB / 저장 슬롯 : 2개 / 전원 : USB-PD / 배터리 : 77Wh / 용도 : 사무/인강용 , 휴대용",4.9,88,2040580,https://img.danawa.com/new/noData/img/noImg_160.gif
LG전자 2024 그램16 16Z90S-GAOWK,"노트북 / 40.6cm(16인치) / 1.199kg / 최대 24시간 / 윈도우11홈 / [화면] 해상도 : 2560x1600(WQXGA) / 밝기 : 350nit / [CPU] 인텔 / 코어 울트라5 / 125H (4.5GHz) / NPU : 11TOPS / [그래픽] 내장그래픽 / Arc / 7core / [구성] 램 : 16GB / 램 교체 : 불가능 / 용량 : 512GB / 저장 슬롯 : 2개 / 전원 : USB-PD / 배터리 : 77Wh / 용도 : 사무/인강용 , 휴대용",4.9,191,1425630,https://img.danawa.com/new/noData/img/noImg_160.gif
레노버 아이디어패드 Slim1-15ALC R5B WIN11 16GB램,노트북 / 39.6cm(15.6인치) / 1.6kg / 최대 9.5시간 / 윈도우11(설치) / [화면] 해상도 : 1920x1080(FHD) / 밝기 : 250nit / [CPU] AMD / 라이젠5-4세대 / 5625U (2.3GHz) / [그래픽] 내장그래픽 / Radeon Graphics / [구성] 램 : 16GB / 램 교체 : 가능(1슬롯) / 용량 : 256GB / 저장 슬롯 : 1개 / 전원 : DC / 배터리 : 42Wh / 용도 : 사무/인강용,4.5,24,471790,https://img.danawa.com/new/noData/img/noImg_160.gif
삼성전자 갤럭시북5 프로360 NT960QHA-KC51G,AI노트북 / 40.6cm(16인치) / 1.69kg / 윈도우11홈 / [화면] 해상도 : 2880x1800(WQXGA+) / 밝기 : 400nit / 주사율 : 120Hz / [CPU] 인텔 / 코어 울트라5(S2) / 226V (4.5GHz) / NPU : 40TOPS / [그래픽] 내장그래픽 / Arc 130V / 7core / [구성] 램 : 16GB / 램 교체 : 불가능 / 용량 : 512GB / 저장 슬롯 : 1개 / 전원 : USB-PD / 배터리 : 76Wh / 용도 : 사무/인강용,4.8,8,1918990,https://img.danawa.com/new/noData/img/noImg_160.gif
"APPLE 맥북프로16 M4프로 14코어 CPU, 20코어 GPU 블랙",AI노트북 / 41.0cm(16.2인치) / 2.14kg / 최대 24시간 / macOS Sequoia / [화면] 해상도 : 3456x2234(254ppi) / 밝기 : 1000nit / 주사율 : 120Hz / [CPU] 애플(ARM) / M4 Pro / NPU : 38TOPS / [그래픽] 내장그래픽 / 20core / [구성] 램 : 24GB / 램 교체 : 불가능 / 용량 : 512GB / 전원 : USB-PD / 배터리 : 100Wh / 용도 : 그래픽작업용,5.0,21,3238600,https://img.danawa.com/new/noData/img/noImg_160.gif
LG전자 그램 프로360 16TD90SP-KX76K,"2in1 / 40.6cm(16인치) / 1.399kg / OS미포함(프리도스) / [화면] 해상도 : 2880x1800(WQXGA+) / 밝기 : 400nit / 주사율 : 120Hz / [CPU] 인텔 / 코어 울트라7 / 155H (4.8GHz) / NPU : 11TOPS / [그래픽] 내장그래픽 / Arc / 8core / [구성] 램 : 16GB / 램 교체 : 불가능 / 용량 : 256GB / 저장 슬롯 : 2개 / 전원 : USB-PD / 배터리 : 77Wh / 용도 : 사무/인강용 , 휴대용",4.9,75,1598990,https://img.danawa.com/new/noData/img/noImg_160.gif
LG전자 2025 그램15 15Z90T-GA5CK,"노트북 / 39.6cm(15.6인치) / 1.29kg / 윈도우11홈 / [화면] 해상도 : 1920x1080(FHD) / 밝기 : 350nit / [CPU] 인텔 / 코어 울트라5(S2) / 225H (4.9GHz) / NPU : 13TOPS / [그래픽] 내장그래픽 / Arc 130T / 7core / [구성] 램 : 16GB / 램 교체 : 불가능 / 용량 : 256GB / 저장 슬롯 : 2개 / 전원 : USB-PD / 배터리 : 72Wh / 용도 : 사무/인강용 , 휴대용",4.9,37,1378000,https://img.danawa.com/new/noData/img/noImg_160.gif
