prod_name,spec_list,review_score,review_count,lowest_price,prod_img
영웅컴퓨터 영웅 H게이밍 U7267 265KF RTX5070,265KF / RTX 5070 / (인텔) B860 / OS미포함 / 750W / 인텔 / 코어울트라 시리즈2 / 코어 울트라7 / 애로우레이크 / 인텔 AI Boost / 13TOPS / DDR5 / 32GB / M.2 / 1TB / NVIDIA / 그래픽 메모리 : 12GB / 1Gbps 유선 / HDMI / DP포트 / 파워서플라이 / 미들타워 / 어항형 / LED쿨러 / 용도 : 게임용,0.0,0,1799900,https://img.danawa.com/new/noData/img/noImg_160.gif
포유컴퓨터 퍼포먼스PC 55 i5 14400F RTX5060Ti,i5-14400F / RTX 5060 Ti / (인텔) H610 / OS미포함 / 700W / 인텔 / 코어 14세대 / 코어i5 / 랩터레이크-R / DDR5 / 16GB / M.2 / 500GB / NVIDIA / 1Gbps 유선 / HDMI / DP포트 / 파워서플라이 / 미들타워 / LED쿨러 / 용도 : 게임용,4.8,11,1124120,https://img.danawa.com/new/noData/img/noImg_160.gif
삼성전자 데스크탑 Slim DM500SGZ-AD5A Win11Home,i5-14400 / UHD 그래픽스 730 / 윈도우11 / 300W / 인텔 / 코어 14세대 / 코어i5 / 랩터레이크-R / DDR5 / 8GB / SSD / 256GB / INTEL / 1Gbps 유선 / USB3.x 10Gbps / USB C타입 5Gbps / 파워서플라이 / 슬림 / 용도 : 사무/인강용 / 구성변경상품,5.0,4,911000,https://img.danawa.com/new/noData/img/noImg_160.gif
삼성전자 올인원 PRO DM970AGA-LC51G,125H / Arc 그래픽스 / 윈도우11 / 인텔 / 코어울트라 시리즈1 / 코어 울트라5 / 메테오레이크 / 인텔 AI Boost / 11TOPS / LPDDR5X / 16GB / M.2 / 512GB / INTEL / 화면크기 : 68.6cm(27인치) / 3840x2160 / 눈부심방지 / 스피커 내장형 / 1Gbps 유선 / 802.11ax(Wi-Fi 6E) 무선 / 블루투스 / USB3.x 5Gbps / 썬더볼트4 / 웹캠 / 마이크 내장 / DC / 일체형 / 6.9kg,4.2,7,1866000,https://img.danawa.com/new/noData/img/noImg_160.gif
영웅컴퓨터 영웅 울트라게이밍 9800TS R7 9800X3D RTX5070Ti,9800X3D / RTX 5070 Ti / (AMD) B650 / OS미포함 / 800W / AMD / 라이젠 9000시리즈 / 라이젠7 / 그래니트 릿지 / DDR5 / 32GB / M.2 / 1TB / NVIDIA / 그래픽 메모리 : 16GB / 1Gbps 유선 / HDMI / DP포트 / 파워서플라이 / 미들타워 / 어항형 / 수랭쿨러 / LED쿨러 / 용도 : 게임용,0.0,0,2605340,https://img.danawa.com/new/noData/img/noImg_160.gif
주연테크 긱스타 GAMING 265K57T,265K / RTX 5070 Ti / (인텔) B760 / OS미포함 / 1000W / 인텔 / 코어울트라 시리즈2 / 코어 울트라7 / 애로우레이크 / 인텔 AI Boost / 13TOPS / DDR5 / 32GB / M.2 / 1TB / NVIDIA / 그래픽 메모리 : 16GB / 1Gbps 유선 / HDMI / DP포트 / 파워서플라이 / 미들타워 / 어항형 / 수랭쿨러 / LED쿨러 / 용도 : 게임용,0.0,0,2364330,https://img.danawa.com/new/noData/img/noImg_160.gif
포유컴퓨터 퍼포먼스PC 43 i5 14400,i5-14400 / UHD 730 / (인텔) H610 / OS미포함 / 600W / 인텔 / 코어 14세대 / 코어i5 / 랩터레이크-R / DDR5 / 16GB / M.2 / 500GB / INTEL / 1Gbps 유선 / 파워서플라이 / 미니타워 / 용도 : 사무/인강용,4.7,8,566490,https://img.danawa.com/new/noData/img/noImg_160.gif
영웅컴퓨터 영웅 H게이밍 2561F 225F RTX5060Ti,225F / RTX 5060 Ti / (인텔) H810 / OS미포함 / 600W / 인텔 / 코어울트라 시리즈2 / 코어 울트라5 / 애로우레이크 / 인텔 AI Boost / 13TOPS / DDR5 / 16GB / M.2 / 512GB / NVIDIA / 그래픽 메모리 : 8GB / 1Gbps 유선 / HDMI / DP포트 / 파워서플라이 / 미들타워 / 어항형 / LED쿨러 / 용도 : 게임용,0.0,0,1169900,https://img.danawa.com/new/noData/img/noImg_160.gif
컴퓨터연구소 바로사용OK 5600 RTX3050,5600 / RTX 3050 / (AMD) A520 / 윈도우11 / 600W / AMD / 라이젠 5000시리즈 / 라이젠5 / 버미어 / DDR4 / 16GB / M.2 / 500GB / NVIDIA / 1Gbps 유선 / 파워서플라이 / 미들타워 / 어항형 / 용도 : 게임용,0.0,0,910000,https://img.danawa.com/new/noData/img/noImg_160.gif
다나와표준PC 게임용 250719,9600X / RTX 5070 / (AMD) B850 / OS미포함 / 850W / AMD / 라이젠 9000시리즈 / 라이젠5 / 그래니트 릿지 / DDR5 / 16GB / M.2 / 1TB / NVIDIA / 그래픽 메모리 : 12GB / 1Gbps 유선 / 파워서플라이 / 미들타워 / 어항형 / LED쿨러 / 용도 : 게임용,0.0,0,2167600,https://img.danawa.com/new/noData/img/noImg_160.gif
