"id","category","prod_name","spec_list","review_score","review_count","lowest_price","prod_img","created_at"
74,desktop,영웅컴퓨터 영웅 H게이밍 2560F 225F RTX5060,"225F / RTX 5060 / (인텔) H810 / OS미포함 / 600W / 인텔 / 코어울트라 시리즈2 / 코어 울트라5 / 애로우레이크 / 인텔 AI Boost / 13TOPS / DDR5 / 16GB / M.2 / 500GB / NVIDIA / 그래픽 메모리 : 8GB / 1Gbps 유선 / HDMI / DP포트 / 파워서플라이 / 미들타워 / 어항형 / LED쿨러 / 용도 : 게임용",0.0,0,1049900,https://img.danawa.com/new/noData/img/noImg_160.gif,2025-09-15 08:35:38.788
75,desktop,포유컴퓨터 퍼포먼스PC 55 i5 14400F RTX5060Ti,i5-14400F / RTX 5060 Ti / (인텔) H610 / OS미포함 / 700W / 인텔 / 코어 14세대 / 코어i5 / 랩터레이크-R / DDR5 / 16GB / M.2 / 500GB / NVIDIA / 1Gbps 유선 / HDMI / DP포트 / 파워서플라이 / 미들타워 / LED쿨러 / 용도 : 게임용,4.8,11,1124030,https://img.danawa.com/new/noData/img/noImg_160.gif,2025-09-15 08:35:38.788
76,desktop,삼성전자 데스크탑 Slim DM500SGZ-AD5A Win11Home,i5-14400 / UHD 그래픽스 730 / 윈도우11 / 300W / 인텔 / 코어 14세대 / 코어i5 / 랩터레이크-R / DDR5 / 8GB / SSD / 256GB / INTEL / 1Gbps 유선 / USB3.x 10Gbps / USB C타입 5Gbps / 파워서플라이 / 슬림 / 용도 : 사무/인강용 / 구성변경상품,5.0,4,911000,https://img.danawa.com/new/noData/img/noImg_160.gif,2025-09-15 08:35:38.788
77,desktop,영웅컴퓨터 영웅 H게이밍 4756T I7-14700F RTX5060Ti,i7-14700F / RTX 5060 Ti / (인텔) B760 / OS미포함 / 750W / 인텔 / 코어 14세대 / 코어i7 / 랩터레이크-R / DDR5 / 32GB / M.2 / 1TB / NVIDIA / 그래픽 메모리 : 8GB / 1Gbps 유선 / HDMI / DP포트 / 파워서플라이 / 미들타워 / 어항형 / LED쿨러 / 용도 : 게임용,5.0,1,1469140,https://img.danawa.com/new/noData/img/noImg_160.gif,2025-09-15 08:35:38.788
655,desktop,주연테크 굿워크 D1V12400 W Win11Home,i5-12400 / UHD 730 / 윈도우11 / 500W / 인텔 / 코어 12세대 / 코어i5 / 엘더레이크 / DDR4 / 8GB / M.2 / 256GB / INTEL / 1Gbps 유선 / 파워서플라이 / 미니타워 / 용도 : 사무/인강용,0.0,0,590470,https://img.danawa.com/new/noData/img/noImg_160.gif,2025-09-15 10:41:26.161
68,desktop,다나와표준PC 게임용 250810,"7500F / RTX 5060 / (AMD) B650 / OS미포함 / 750W / AMD / 라이젠 7000시리즈 / 라이젠5 / 라파엘 / DDR5 / 16GB / M.2 / 512GB / NVIDIA / 그래픽 메모리 : 8GB / 1Gbps 유선 / HDMI / DP포트 / 파워서플라이 / 미들타워 / LED쿨러 / 용도 : 게임용",0.0,0,1243000,https://img.danawa.com/new/noData/img/noImg_160.gif,2025-09-15 08:35:38.788
69,desktop,영웅컴퓨터 영웅 울트라게이밍 9800XS R7 9800X3D RTX5080,"9800X3D / RTX 5080 / (AMD) B650 / OS미포함 / 900W / AMD / 라이젠 9000시리즈 / 라이젠7 / 그래니트 릿지 / DDR5 / 32GB / M.2 / 1TB / NVIDIA / 그래픽 메모리 : 16GB / 1Gbps 유선 / HDMI / DP포트 / 파워서플라이 / 미들타워 / 어항형 / 수랭쿨러 / LED쿨러 / 용도 : 게임용",5.0,3,3049780,https://img.danawa.com/new/noData/img/noImg_160.gif,2025-09-15 08:35:38.788
72,desktop,Beelink SER8 8745HS 해외구매,해외구매 / 8745HS / 780M / AMD / 라이젠 8000시리즈 / 라이젠7 / 호크포인트 / DDR5 / AMD / 2.5Gbps 유선 / 802.11ax(Wi-Fi 6) 무선 / 블루투스 / HDMI / DP포트 / USB3.x 10Gbps / USB C타입 40Gbps / USB C타입 10Gbps / DC / 미니PC / 용도 : 사무/인강용,4.7,88,368800,https://img.danawa.com/new/noData/img/noImg_160.gif,2025-09-15 08:35:38.788
78,desktop,삼성전자 올인원 PRO DM970AGA-LC51G,"125H / Arc 그래픽스 / 윈도우11 / 인텔 / 코어울트라 시리즈1 / 코어 울트라5 / 메테오레이크 / 인텔 AI Boost / 11TOPS / LPDDR5X / 16GB / M.2 / 512GB / INTEL / 화면크기 : 68.6cm(27인치) / 3840x2160 / 눈부심방지 / 스피커 내장형 / 1Gbps 유선 / 802.11ax(Wi-Fi 6E) 무선 / 블루투스 / USB3.x 5Gbps / 썬더볼트4 / 웹캠 / 마이크 내장 / DC / 일체형 / 6.9kg",4.2,7,1865910,https://img.danawa.com/new/noData/img/noImg_160.gif,2025-09-15 08:35:38.788
79,desktop,주연테크 긱스타 GAMING 265K57T,"265K / RTX 5070 Ti / (인텔) B860 / OS미포함 / 1000W / 인텔 / 코어울트라 시리즈2 / 코어 울트라7 / 애로우레이크 / 인텔 AI Boost / 13TOPS / DDR5 / 32GB / M.2 / 1TB / NVIDIA / 그래픽 메모리 : 16GB / 1Gbps 유선 / HDMI / DP포트 / 파워서플라이 / 미들타워 / 어항형 / 수랭쿨러 / LED쿨러 / 용도 : 게임용",0.0,0,2364330,https://img.danawa.com/new/noData/img/noImg_160.gif,2025-09-15 08:35:38.788
